skill_id,node_type,domain,detected_tool,matched_keyword,secondary_domains,verb_prefix
implementing-vulnerability-sla-breach-alerting,skill,vulnerability_management,,vulnerability-sla,,implementing
implementing-web-application-logging-with-modsecurity,skill,application_and_api_security,modsecurity,web-application,,implementing
implementing-zero-knowledge-proof-for-authentication,skill,cryptography_and_pki,,zero-knowledge-proof,,implementing
implementing-zero-standing-privilege-with-cyberark,skill,identity_and_access_management,cyberark,cyberark,,implementing
implementing-zero-trust-dns-with-nextdns,skill,zero_trust_and_secure_access,nextdns,zero-trust,,implementing
implementing-zero-trust-for-saas-applications,skill,zero_trust_and_secure_access,,zero-trust,,implementing
implementing-zero-trust-in-cloud,skill,zero_trust_and_secure_access,,zero-trust,,implementing
implementing-zero-trust-network-access,skill,zero_trust_and_secure_access,,zero-trust,,implementing
implementing-zero-trust-network-access-with-zscaler,skill,zero_trust_and_secure_access,zscaler,zero-trust,,implementing
implementing-zero-trust-with-beyondcorp,skill,zero_trust_and_secure_access,beyondcorp,zero-trust,,implementing
implementing-zero-trust-with-hashicorp-boundary,skill,zero_trust_and_secure_access,hashicorp-boundary,zero-trust,,implementing
integrating-dast-with-owasp-zap-in-pipeline,skill,application_and_api_security,owasp-zap-in-pipeline,owasp-zap,supply_chain_and_devsecops,integrating
integrating-sast-into-github-actions-pipeline,skill,supply_chain_and_devsecops,,sast,,integrating
intercepting-mobile-traffic-with-burpsuite,skill,application_and_api_security,burpsuite,burpsuite,,
investigating-insider-threat-indicators,skill,incident_response_and_soc_operations,,insider-threat-indicators,,investigating
investigating-phishing-email-incident,skill,email_and_social_engineering_security,,phishing,,investigating
investigating-ransomware-attack-artifacts,skill,digital_forensics_and_incident_response,,ransomware-attack-artifacts,,investigating
legal,policy,legal_and_rules_of_engagement,,,,
linux,domain,linux,,,,
managing-cloud-identity-with-okta,skill,identity_and_access_management,okta,okta,,
managing-intelligence-lifecycle,skill,threat_intelligence,,intelligence-lifecycle,,
managing-third-party-vendor-risk,skill,compliance_and_grc,,third-party-vendor-risk,,
mapping-attack-paths-with-bloodhound-ce,skill,active_directory_and_identity_attacks,bloodhound-ce,bloodhound,,mapping
mapping-mitre-attack-techniques,skill,threat_intelligence,,mitre-attack-techniques,,mapping
migrating-to-post-quantum-cryptography,skill,cryptography_and_pki,,post-quantum-cryptography,,migrating
modeling-threats-with-opencti,skill,threat_intelligence,opencti,opencti,,
monitoring-darkweb-sources,skill,threat_intelligence,,darkweb,,monitoring
monitoring-scada-modbus-traffic-anomalies,skill,ot_ics_scada_security,,scada,,monitoring
moving-laterally-with-netexec,skill,active_directory_and_identity_attacks,netexec,netexec,,moving
nomic-local,infra_or_meta_needs_triage,,,,,
operating-havoc-c2,skill,offensive_security_and_red_teaming,,c2,,
operating-sliver-c2,skill,offensive_security_and_red_teaming,,c2,,
operationalizing-misp-threat-feeds,skill,threat_intelligence,,misp,,
orchestrating-llm-attacks-with-pyrit,skill,ai_and_llm_security,pyrit,llm,,orchestrating
paid-bash-security-v1-1,infra_or_meta_needs_triage,,,,,
parsing-artifacts-with-eric-zimmerman-tools,skill,digital_forensics_and_incident_response,eric-zimmerman-tools,eric-zimmerman,,
performing-access-recertification-with-saviynt,skill,identity_and_access_management,saviynt,saviynt,,performing
performing-access-review-and-certification,skill,identity_and_access_management,,access-review-and-certification,,performing
performing-active-directory-bloodhound-analysis,skill,active_directory_and_identity_attacks,,active-directory,,performing
performing-active-directory-compromise-investigation,skill,active_directory_and_identity_attacks,,active-directory,,performing
performing-active-directory-forest-trust-attack,skill,active_directory_and_identity_attacks,,active-directory,,performing
performing-active-directory-penetration-test,skill,active_directory_and_identity_attacks,,active-directory,offensive_security_and_red_teaming,performing
performing-active-directory-vulnerability-assessment,skill,active_directory_and_identity_attacks,,active-directory,,performing
performing-adversary-in-the-middle-phishing-detection,skill,email_and_social_engineering_security,,phishing,,performing
performing-agentless-vulnerability-scanning,skill,vulnerability_management,,vulnerability-scanning,,performing
performing-ai-driven-osint-correlation,skill,ai_and_llm_security,,ai-driven-osint,threat_intelligence,performing
performing-alert-triage-with-elastic-siem,skill,detection_engineering_and_threat_hunting,elastic-siem,siem,,performing
performing-android-app-static-analysis-with-mobsf,skill,mobile_security,mobsf,android,,performing
performing-api-fuzzing-with-restler,skill,application_and_api_security,restler,api-fuzzing,supply_chain_and_devsecops,performing
performing-api-inventory-and-discovery,skill,application_and_api_security,,api-inventory,,performing
performing-api-rate-limiting-bypass,skill,application_and_api_security,,api-rate-limiting,,performing
performing-api-security-testing-with-postman,skill,application_and_api_security,postman,api-security,,performing
performing-arp-spoofing-attack-simulation,skill,network_security_and_perimeter,,arp-spoofing,offensive_security_and_red_teaming,performing
performing-asset-criticality-scoring-for-vulns,skill,vulnerability_management,,asset-criticality-scoring,,performing
performing-authenticated-scan-with-openvas,skill,vulnerability_management,openvas,openvas,,performing
performing-authenticated-vulnerability-scan,skill,vulnerability_management,,authenticated-vulnerability-scan,,performing
performing-automated-malware-analysis-with-cape,skill,malware_analysis_and_reverse_engineering,cape,malware,,performing
performing-aws-account-enumeration-with-scout-suite,skill,cloud_security,scout-suite,aws,,performing
performing-aws-privilege-escalation-assessment,skill,cloud_security,,aws,endpoint_security_and_hardening,performing
performing-bandwidth-throttling-attack-simulation,skill,network_security_and_perimeter,,bandwidth-throttling,offensive_security_and_red_teaming,performing
performing-binary-exploitation-analysis,skill,malware_analysis_and_reverse_engineering,,binary-exploitation,,performing
performing-blind-ssrf-exploitation,skill,application_and_api_security,,ssrf,,performing
performing-bluetooth-security-assessment,skill,network_security_and_perimeter,,bluetooth,offensive_security_and_red_teaming,performing
performing-brand-monitoring-for-impersonation,skill,threat_intelligence,,brand-monitoring,,performing
performing-clickjacking-attack-test,skill,application_and_api_security,,clickjacking,,performing
performing-cloud-asset-inventory-with-cartography,skill,cloud_security,cartography,cloud-asset-inventory,,performing
performing-cloud-forensics-investigation,skill,digital_forensics_and_incident_response,,forensics,cloud_security,performing
performing-cloud-forensics-with-aws-cloudtrail,skill,digital_forensics_and_incident_response,aws-cloudtrail,forensics,cloud_security,performing
performing-cloud-incident-containment-procedures,skill,cloud_security,,cloud-incident,,performing
performing-cloud-log-forensics-with-athena,skill,digital_forensics_and_incident_response,athena,forensics,cloud_security,performing
performing-cloud-native-forensics-with-falco,skill,digital_forensics_and_incident_response,falco,forensics,cloud_security;container_and_kubernetes_security,performing
performing-cloud-native-threat-hunting-with-aws-detective,skill,detection_engineering_and_threat_hunting,aws-detective,threat-hunting,cloud_security,performing
performing-cloud-penetration-testing-with-pacu,skill,cloud_security,pacu,pacu,offensive_security_and_red_teaming,performing
performing-cloud-storage-forensic-acquisition,skill,digital_forensics_and_incident_response,,forensic-,cloud_security,performing
performing-container-escape-detection,skill,container_and_kubernetes_security,,container,,performing
performing-container-image-hardening,skill,container_and_kubernetes_security,,container,,performing
performing-container-security-scanning-with-trivy,skill,container_and_kubernetes_security,trivy,trivy,,performing
performing-content-security-policy-bypass,skill,application_and_api_security,,content-security-policy,,performing
performing-credential-access-with-lazagne,skill,active_directory_and_identity_attacks,lazagne,credential-access-with-lazagne,,performing
performing-cryptographic-audit-of-application,skill,application_and_api_security,,cryptographic-audit-of-application,,performing
performing-csrf-attack-simulation,skill,application_and_api_security,,csrf,offensive_security_and_red_teaming,performing
performing-cve-prioritization-with-kev-catalog,skill,vulnerability_management,kev-catalog,kev-catalog,,performing
performing-dark-web-monitoring-for-threats,skill,threat_intelligence,,dark-web,,performing
performing-deception-technology-deployment,skill,deception_technology,,deception,,performing
performing-directory-traversal-testing,skill,application_and_api_security,,directory-traversal,,performing
performing-disk-forensics-investigation,skill,digital_forensics_and_incident_response,,forensics,,performing
performing-dmarc-policy-enforcement-rollout,skill,email_and_social_engineering_security,,dmarc,,performing
performing-dns-enumeration-and-zone-transfer,skill,network_security_and_perimeter,,dns-enumeration,,performing
performing-dns-tunneling-detection,skill,detection_engineering_and_threat_hunting,,dns-tunneling,,performing
performing-docker-bench-security-assessment,skill,container_and_kubernetes_security,,docker,,performing
performing-dynamic-analysis-of-android-app,skill,mobile_security,,android,,performing
performing-dynamic-analysis-with-any-run,skill,malware_analysis_and_reverse_engineering,any-run,any-run,,performing
performing-endpoint-forensics-investigation,skill,digital_forensics_and_incident_response,,forensics,,performing
performing-endpoint-vulnerability-remediation,skill,vulnerability_management,,vulnerability-remediation,,performing
performing-entitlement-review-with-sailpoint-iiq,skill,identity_and_access_management,sailpoint-iiq,sailpoint,,performing
performing-external-network-penetration-test,skill,offensive_security_and_red_teaming,,penetration-test,,performing
performing-false-positive-reduction-in-siem,skill,detection_engineering_and_threat_hunting,,siem,,performing
performing-file-carving-with-foremost,skill,digital_forensics_and_incident_response,foremost,foremost,,performing
performing-firmware-extraction-with-binwalk,skill,malware_analysis_and_reverse_engineering,binwalk,firmware-extraction,,performing
performing-firmware-malware-analysis,skill,malware_analysis_and_reverse_engineering,,malware,,performing
performing-fuzzing-with-aflplusplus,skill,supply_chain_and_devsecops,aflplusplus,fuzzing,,performing
performing-gcp-penetration-testing-with-gcpbucketbrute,skill,cloud_security,gcpbucketbrute,gcp,offensive_security_and_red_teaming,performing
performing-gcp-security-assessment-with-forseti,skill,cloud_security,forseti,gcp,,performing
performing-graphql-depth-limit-attack,skill,application_and_api_security,,graphql,,performing
performing-graphql-introspection-attack,skill,application_and_api_security,,graphql,,performing
performing-graphql-security-assessment,skill,application_and_api_security,,graphql,,performing
performing-hardware-security-module-integration,skill,cryptography_and_pki,,hardware-security-module,,performing
performing-hash-cracking-with-hashcat,skill,active_directory_and_identity_attacks,hashcat,hash-cracking,,performing
performing-http-parameter-pollution-attack,skill,application_and_api_security,,http-parameter-pollution,,performing
performing-ics-asset-discovery-with-claroty,skill,ot_ics_scada_security,claroty,claroty,,performing
performing-indicator-lifecycle-management,skill,threat_intelligence,,indicator-lifecycle-management,,performing
performing-initial-access-with-evilginx3,skill,offensive_security_and_red_teaming,evilginx3,initial-access,,performing
performing-insider-threat-investigation,skill,incident_response_and_soc_operations,,insider-threat-investigation,,performing
performing-ioc-enrichment-automation,skill,threat_intelligence,,ioc,,performing
performing-ios-app-security-assessment,skill,mobile_security,,ios-app,,performing
performing-iot-security-assessment,skill,offensive_security_and_red_teaming,,iot-security-assessment,,performing
performing-ip-reputation-analysis-with-shodan,skill,threat_intelligence,shodan,shodan,,performing
performing-jwt-none-algorithm-attack,skill,application_and_api_security,,jwt,,performing
performing-kerberoasting-attack,skill,active_directory_and_identity_attacks,,kerberoast,,performing
performing-kubernetes-cis-benchmark-with-kube-bench,skill,container_and_kubernetes_security,kube-bench,kubernetes,compliance_and_grc,performing
performing-kubernetes-etcd-security-assessment,skill,container_and_kubernetes_security,,kubernetes,,performing
performing-kubernetes-penetration-testing,skill,container_and_kubernetes_security,,kubernetes,offensive_security_and_red_teaming,performing
performing-lateral-movement-detection,skill,active_directory_and_identity_attacks,,lateral-movement,,performing
performing-lateral-movement-with-wmiexec,skill,active_directory_and_identity_attacks,wmiexec,wmiexec,,performing
performing-linux-log-forensics-investigation,skill,digital_forensics_and_incident_response,,forensics,,performing
performing-log-analysis-for-forensic-investigation,skill,digital_forensics_and_incident_response,,forensic-,,performing
performing-log-source-onboarding-in-siem,skill,detection_engineering_and_threat_hunting,,siem,,performing
performing-malware-hash-enrichment-with-virustotal,skill,malware_analysis_and_reverse_engineering,virustotal,malware,,performing
performing-malware-ioc-extraction,skill,malware_analysis_and_reverse_engineering,,malware,threat_intelligence,performing
performing-malware-persistence-investigation,skill,malware_analysis_and_reverse_engineering,,malware,,performing
performing-malware-triage-with-yara,skill,malware_analysis_and_reverse_engineering,yara,malware,,performing
performing-memory-forensics-with-volatility3,skill,digital_forensics_and_incident_response,volatility3,volatility,,performing
performing-memory-forensics-with-volatility3-plugins,skill,digital_forensics_and_incident_response,volatility3-plugins,volatility,,performing
performing-mobile-app-certificate-pinning-bypass,skill,mobile_security,,mobile-app,,performing
performing-mobile-device-forensics-with-cellebrite,skill,mobile_security,cellebrite,mobile-device-forensics,digital_forensics_and_incident_response,performing
performing-network-forensics-with-wireshark,skill,digital_forensics_and_incident_response,wireshark,forensics,network_security_and_perimeter,performing
performing-network-packet-capture-analysis,skill,detection_engineering_and_threat_hunting,,network-packet-capture,,performing
performing-network-traffic-analysis-with-tshark,skill,detection_engineering_and_threat_hunting,tshark,network-traffic-analysis,,performing
performing-network-traffic-analysis-with-zeek,skill,detection_engineering_and_threat_hunting,zeek,zeek,,performing
performing-nist-csf-maturity-assessment,skill,compliance_and_grc,,nist-csf,,performing
performing-oauth-scope-minimization-review,skill,application_and_api_security,,oauth-scope-minimization,,performing
performing-oil-gas-cybersecurity-assessment,skill,ot_ics_scada_security,,oil-gas,,performing
performing-open-source-intelligence-gathering,skill,threat_intelligence,,open-source-intelligence,,performing
performing-osint-with-spiderfoot,skill,threat_intelligence,spiderfoot,osint,,performing
performing-ot-network-security-assessment,skill,ot_ics_scada_security,,ot-network,,performing
performing-ot-vulnerability-assessment-with-claroty,skill,ot_ics_scada_security,claroty,claroty,,performing
performing-ot-vulnerability-scanning-safely,skill,ot_ics_scada_security,,ot-vulnerability,vulnerability_management,performing
performing-packet-injection-attack,skill,network_security_and_perimeter,,packet-injection,,performing
performing-paste-site-monitoring-for-credentials,skill,threat_intelligence,,paste-site-monitoring,,performing
performing-phishing-simulation-with-gophish,skill,email_and_social_engineering_security,gophish,phishing,offensive_security_and_red_teaming,performing
performing-physical-intrusion-assessment,skill,offensive_security_and_red_teaming,,physical-intrusion,,performing
performing-plc-firmware-security-analysis,skill,ot_ics_scada_security,,plc-firmware,,performing
performing-post-quantum-cryptography-migration,skill,cryptography_and_pki,,post-quantum-cryptography,,performing
performing-power-grid-cybersecurity-assessment,skill,ot_ics_scada_security,,power-grid,,performing
performing-privacy-impact-assessment,skill,compliance_and_grc,,privacy-impact-assessment,,performing
performing-privilege-escalation-assessment,skill,endpoint_security_and_hardening,,privilege-escalation-assessment,,performing
performing-privilege-escalation-on-linux,skill,endpoint_security_and_hardening,,privilege-escalation-on-linux,,performing
performing-privileged-account-access-review,skill,identity_and_access_management,,privileged-account,,performing
performing-privileged-account-discovery,skill,identity_and_access_management,,privileged-account,,performing
performing-purple-team-atomic-testing,skill,offensive_security_and_red_teaming,,purple-team,,performing
performing-purple-team-exercise,skill,offensive_security_and_red_teaming,,purple-team,,performing
performing-ransomware-response,skill,incident_response_and_soc_operations,,ransomware-response,,performing
performing-ransomware-tabletop-exercise,skill,incident_response_and_soc_operations,,tabletop-exercise,,performing
performing-red-team-phishing-with-gophish,skill,email_and_social_engineering_security,gophish,phishing,offensive_security_and_red_teaming,performing
performing-red-team-with-covenant,skill,offensive_security_and_red_teaming,covenant,covenant,,performing
performing-s7comm-protocol-security-analysis,skill,ot_ics_scada_security,,s7comm,,performing
performing-sca-dependency-scanning-with-snyk,skill,supply_chain_and_devsecops,snyk,snyk,,performing
performing-scada-hmi-security-assessment,skill,ot_ics_scada_security,,scada,,performing
performing-second-order-sql-injection,skill,application_and_api_security,,sql-injection,,performing
performing-security-headers-audit,skill,application_and_api_security,,security-headers-audit,,performing
performing-serverless-function-security-review,skill,cloud_security,,serverless,,performing
performing-service-account-audit,skill,identity_and_access_management,,service-account,,performing
performing-service-account-credential-rotation,skill,identity_and_access_management,,service-account,,performing
performing-soap-web-service-security-testing,skill,application_and_api_security,,soap-web-service,,performing
performing-soc-tabletop-exercise,skill,incident_response_and_soc_operations,,soc-tabletop,,performing
performing-soc2-type2-audit-preparation,skill,compliance_and_grc,,soc2,,performing
performing-sqlite-database-forensics,skill,digital_forensics_and_incident_response,,sqlite-database-forensics,,performing
performing-ssl-certificate-lifecycle-management,skill,network_security_and_perimeter,,ssl-certificate,cryptography_and_pki,performing
performing-ssl-stripping-attack,skill,network_security_and_perimeter,,ssl-stripping,,performing
performing-ssl-tls-inspection-configuration,skill,network_security_and_perimeter,,tls-inspection,,performing
performing-ssl-tls-security-assessment,skill,network_security_and_perimeter,,ssl-tls,,performing
performing-ssrf-vulnerability-exploitation,skill,application_and_api_security,,ssrf,,performing
performing-static-malware-analysis-with-pe-studio,skill,malware_analysis_and_reverse_engineering,pe-studio,malware,,performing
performing-steganography-detection,skill,malware_analysis_and_reverse_engineering,,steganography,,performing
performing-subdomain-enumeration-with-subfinder,skill,network_security_and_perimeter,subfinder,subdomain-enumeration,,performing
performing-supply-chain-attack-simulation,skill,offensive_security_and_red_teaming,,attack-simulation,,performing
performing-thick-client-application-penetration-test,skill,application_and_api_security,,thick-client,offensive_security_and_red_teaming,performing
performing-threat-emulation-with-atomic-red-team,skill,offensive_security_and_red_teaming,atomic-red-team,red-team,,performing
performing-threat-hunting-with-elastic-siem,skill,detection_engineering_and_threat_hunting,elastic-siem,siem,,performing
performing-threat-hunting-with-yara-rules,skill,detection_engineering_and_threat_hunting,yara-rules,threat-hunting,malware_analysis_and_reverse_engineering,performing
performing-threat-intelligence-sharing-with-misp,skill,threat_intelligence,misp,misp,,performing
performing-threat-landscape-assessment-for-sector,skill,threat_intelligence,,threat-landscape,,performing
performing-threat-modeling-with-owasp-threat-dragon,skill,threat_intelligence,owasp-threat-dragon,threat-modeling,,performing
performing-timeline-reconstruction-with-plaso,skill,digital_forensics_and_incident_response,plaso,plaso,,performing
performing-user-behavior-analytics,skill,detection_engineering_and_threat_hunting,,user-behavior-analytics,,performing
performing-vlan-hopping-attack,skill,network_security_and_perimeter,,vlan-hopping,,performing
performing-vulnerability-scanning-with-nessus,skill,vulnerability_management,nessus,nessus,,performing
performing-web-application-firewall-bypass,skill,application_and_api_security,,web-application,network_security_and_perimeter,performing
performing-web-application-penetration-test,skill,application_and_api_security,,web-application,offensive_security_and_red_teaming,performing
performing-web-application-scanning-with-nikto,skill,application_and_api_security,nikto,nikto,,performing
performing-web-application-vulnerability-triage,skill,application_and_api_security,,web-application,vulnerability_management,performing
performing-web-cache-deception-attack,skill,deception_technology,,deception,application_and_api_security,performing
performing-web-cache-poisoning-attack,skill,application_and_api_security,,web-cache,,performing
performing-wifi-password-cracking-with-aircrack,skill,network_security_and_perimeter,aircrack,wifi-password,,performing
performing-windows-artifact-analysis-with-eric-zimmerman-tools,skill,digital_forensics_and_incident_response,eric-zimmerman-tools,eric-zimmerman,,performing
performing-wireless-network-penetration-test,skill,network_security_and_perimeter,,wireless-network,offensive_security_and_red_teaming,performing
performing-wireless-security-assessment-with-kismet,skill,network_security_and_perimeter,kismet,kismet,,performing
performing-yara-rule-development-for-detection,skill,malware_analysis_and_reverse_engineering,,yara,,performing
post-exploiting-microsoft-graph-with-graphrunner,skill,active_directory_and_identity_attacks,graphrunner,graphrunner,,post-exploiting
powershell,domain,powershell,,,,
primitives,infra_or_meta_needs_triage,,,,,
prioritizing-vulnerabilities-with-cvss-scoring,skill,vulnerability_management,cvss-scoring,cvss,,prioritizing
processing-stix-taxii-feeds,skill,threat_intelligence,,stix,,processing
profiling-threat-actor-groups,skill,threat_intelligence,,threat-actor,,profiling
pulse-routing,infra_or_meta_needs_triage,,,,,
python_env,domain,python_env,,,,
recovering-deleted-files-with-photorec,skill,digital_forensics_and_incident_response,photorec,photorec,,recovering
recovering-from-ransomware-attack,skill,incident_response_and_soc_operations,,recovering-from-ransomware,,recovering
red-teaming-llms-with-garak,skill,ai_and_llm_security,garak,llm,offensive_security_and_red_teaming,
relaying-ntlm-for-adcs-esc8,skill,active_directory_and_identity_attacks,,adcs,,
remediating-s3-bucket-misconfiguration,skill,cloud_security,,s3,,remediating
reverse-engineering-android-malware-with-jadx,skill,mobile_security,jadx,android,malware_analysis_and_reverse_engineering,reverse-engineering
reverse-engineering-dotnet-malware-with-dnspy,skill,malware_analysis_and_reverse_engineering,dnspy,malware,,reverse-engineering
reverse-engineering-ios-app-with-frida,skill,mobile_security,frida,ios-app,malware_analysis_and_reverse_engineering,reverse-engineering
reverse-engineering-malware-with-ghidra,skill,malware_analysis_and_reverse_engineering,ghidra,malware,,reverse-engineering
reverse-engineering-ransomware-encryption-routine,skill,malware_analysis_and_reverse_engineering,,ransomware-encryption,,reverse-engineering
reverse-engineering-rust-malware,skill,malware_analysis_and_reverse_engineering,,malware,,reverse-engineering
scanning-container-images-with-grype,skill,container_and_kubernetes_security,grype,container,,scanning
scanning-containers-with-trivy-in-cicd,skill,container_and_kubernetes_security,trivy-in-cicd,trivy,,scanning
scanning-docker-images-with-trivy,skill,container_and_kubernetes_security,trivy,docker,,scanning
scanning-iac-and-images-with-trivy,skill,container_and_kubernetes_security,trivy,trivy,,scanning
scanning-infrastructure-with-nessus,skill,vulnerability_management,nessus,nessus,,scanning
scanning-kubernetes-manifests-with-kubesec,skill,container_and_kubernetes_security,kubesec,kubernetes,,scanning
scanning-network-with-nmap-advanced,skill,network_security_and_perimeter,nmap-advanced,nmap,,scanning
securing-agentic-ai-tool-invocation,skill,ai_and_llm_security,,agentic-ai-tool,,securing
securing-api-gateway-with-aws-waf,skill,cloud_security,aws-waf,aws,application_and_api_security,securing
securing-aws-iam-permissions,skill,cloud_security,,aws,,securing
securing-aws-lambda-execution-roles,skill,cloud_security,,aws,,securing
securing-azure-with-microsoft-defender,skill,cloud_security,microsoft-defender,azure,,securing
securing-container-registry-images,skill,container_and_kubernetes_security,,container,,securing
securing-container-registry-with-harbor,skill,container_and_kubernetes_security,harbor,container,,securing
securing-github-actions-workflows,skill,supply_chain_and_devsecops,,github-actions-workflows,,securing
securing-helm-chart-deployments,skill,container_and_kubernetes_security,,helm-chart,,securing
securing-historian-server-in-ot-environment,skill,ot_ics_scada_security,,historian,,securing
securing-kubernetes-on-cloud,skill,container_and_kubernetes_security,,kubernetes,,securing
securing-remote-access-to-ot-environment,skill,ot_ics_scada_security,,ot-environment,,securing
securing-serverless-functions,skill,cloud_security,,serverless,,securing
testing-android-intents-for-vulnerabilities,skill,mobile_security,,android,,testing
testing-api-authentication-weaknesses,skill,application_and_api_security,,api-authentication,,testing
testing-api-for-broken-object-level-authorization,skill,application_and_api_security,,broken-object,,testing
testing-api-for-mass-assignment-vulnerability,skill,application_and_api_security,,mass-assignment,,testing
testing-api-security-with-owasp-top-10,skill,application_and_api_security,owasp-top-10,api-security,,testing
testing-cors-misconfiguration,skill,application_and_api_security,,cors-misconfiguration,,testing
testing-for-broken-access-control,skill,application_and_api_security,,broken-access-control,,testing
testing-for-business-logic-vulnerabilities,skill,application_and_api_security,,business-logic-vulnerabilities,,testing
testing-for-email-header-injection,skill,application_and_api_security,,email-header-injection,,testing
testing-for-host-header-injection,skill,application_and_api_security,,host-header-injection,,testing
testing-for-json-web-token-vulnerabilities,skill,application_and_api_security,,jwt,,testing
testing-for-open-redirect-vulnerabilities,skill,application_and_api_security,,open-redirect,,testing
testing-for-sensitive-data-exposure,skill,application_and_api_security,,sensitive-data-exposure,,testing
testing-for-system-prompt-leakage,skill,ai_and_llm_security,,system-prompt-leakage,,testing
testing-for-xml-injection-vulnerabilities,skill,application_and_api_security,,xml-injection,,testing
testing-for-xss-vulnerabilities,skill,application_and_api_security,,xss,,testing
testing-for-xss-vulnerabilities-with-burpsuite,skill,application_and_api_security,burpsuite,xss,,testing
testing-for-xxe-injection-vulnerabilities,skill,application_and_api_security,,xxe,,testing
testing-jwt-token-security,skill,application_and_api_security,,jwt,,testing
testing-mobile-api-authentication,skill,mobile_security,,mobile-api,application_and_api_security,testing
testing-oauth2-implementation-flaws,skill,application_and_api_security,,oauth2,,testing
testing-prompt-injection-in-rag-pipelines,skill,ai_and_llm_security,,prompt-injection,,testing
testing-ransomware-recovery-procedures,skill,digital_forensics_and_incident_response,,ransomware-recovery-procedures,,testing
testing-websocket-api-security,skill,application_and_api_security,,api-security,,testing
tracking-threat-actor-infrastructure,skill,threat_intelligence,,threat-actor,,
triaging-security-alerts-in-splunk,skill,detection_engineering_and_threat_hunting,,splunk,incident_response_and_soc_operations,triaging
triaging-security-incident,skill,incident_response_and_soc_operations,,triaging-security,,triaging
triaging-security-incident-with-ir-playbook,skill,incident_response_and_soc_operations,ir-playbook,ir-playbook,,triaging
triaging-vulnerabilities-with-ssvc-framework,skill,vulnerability_management,ssvc-framework,ssvc-framework,,triaging
triaging-windows-with-kape,skill,digital_forensics_and_incident_response,kape,kape,,triaging
troubleshooting,infra_or_meta_needs_triage,,,,,
validating-backup-integrity-for-recovery,skill,incident_response_and_soc_operations,,backup-integrity,,validating
validating-tpm-measured-boot-attestation,skill,cryptography_and_pki,,tpm-measured-boot,,validating
verifying-build-provenance-with-slsa-sigstore,skill,supply_chain_and_devsecops,slsa-sigstore,slsa,,
